City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Port Angeles,US,2021-12-04 17:57:56,48.1181,-123.4307,40.84,96,90,0.0,light intensity drizzle
126,Khandyga,RU,2021-12-04 17:57:56,62.6667,135.6,-22.49,81,100,3.42,overcast clouds
127,Cape Town,ZA,2021-12-04 17:54:10,-33.9258,18.4232,68.11,70,20,7.0,few clouds
128,Kloulklubed,PW,2021-12-04 17:57:57,7.0419,134.2556,77.5,77,100,3.44,overcast clouds
129,Atuona,PF,2021-12-04 17:57:57,-9.8,-139.0333,78.22,75,37,19.35,scattered clouds
130,Luwuk,ID,2021-12-04 17:57:58,-0.9516,122.7875,78.58,89,100,1.54,overcast clouds
131,Cidreira,BR,2021-12-04 17:57:58,-30.1811,-50.2056,72.93,74,65,18.25,broken clouds
132,Hualmay,PE,2021-12-04 17:57:59,-11.0964,-77.6139,72.12,73,68,9.82,broken clouds
133,Mpika,ZM,2021-12-04 17:57:59,-11.8343,31.4529,74.25,31,10,3.87,clear sky
134,Tiksi,RU,2021-12-04 17:57:59,71.6872,128.8694,-22.61,99,100,3.29,overcast clouds
135,Whitehorse,CA,2021-12-04 17:58:00,60.7161,-135.0538,-15.83,76,75,3.44,light snow
136,Pitea,SE,2021-12-04 17:58:00,65.3172,21.4794,17.1,95,97,8.72,light snow
137,Tazovskiy,RU,2021-12-04 17:58:01,67.4667,78.7,-28.98,99,41,6.33,scattered clouds
138,Ndele,CF,2021-12-04 17:58:01,8.4109,20.6473,83.41,27,39,3.96,scattered clouds
139,Saldanha,ZA,2021-12-04 17:58:01,-33.0117,17.9442,68.05,89,100,14.18,light rain
140,Lyaskelya,RU,2021-12-04 17:59:02,61.7667,31.0167,6.17,81,31,8.7,scattered clouds
141,Victoria,HK,2021-12-04 17:55:46,22.2855,114.1577,66.38,65,82,1.01,broken clouds
142,Bambous Virieux,MU,2021-12-04 17:59:02,-20.3428,57.7575,79.21,83,20,6.91,few clouds
143,Benguela,AO,2021-12-04 17:59:03,-12.5763,13.4055,77.58,81,90,8.12,overcast clouds
144,Pangnirtung,CA,2021-12-04 17:59:04,66.1451,-65.7125,17.6,79,75,2.3,broken clouds
145,Minsk,BY,2021-12-04 17:54:31,53.9,27.5667,29.95,80,100,7.67,overcast clouds
146,Asau,RO,2021-12-04 17:59:05,46.4333,26.4,30.96,81,68,3.67,broken clouds
147,Fatsa,TR,2021-12-04 17:59:06,41.0278,37.5014,53.87,51,100,11.05,overcast clouds
148,Port-Cartier,CA,2021-12-04 17:59:06,50.0334,-66.8654,23.76,61,5,14.7,clear sky
149,Georgetown,MY,2021-12-04 17:59:06,5.4112,100.3354,79.9,85,20,1.01,few clouds
150,Arraial Do Cabo,BR,2021-12-04 17:59:07,-22.9661,-42.0278,80.56,54,40,10.36,scattered clouds
151,Saskylakh,RU,2021-12-04 17:59:07,71.9167,114.0833,-20.18,98,100,5.14,overcast clouds
152,Kokoda,PG,2021-12-04 17:59:08,-8.8785,147.7407,73.85,92,99,3.51,overcast clouds
153,Vao,NC,2021-12-04 17:59:08,-22.6667,167.4833,76.69,84,99,18.28,overcast clouds
154,Mayo,US,2021-12-04 17:59:09,38.8876,-76.5119,59.74,53,27,3.0,scattered clouds
155,Balikpapan,ID,2021-12-04 17:59:09,-1.2675,116.8289,75.78,91,96,2.8,heavy intensity rain
156,San Pedro,PH,2021-12-04 17:59:09,14.35,121.0167,76.32,69,20,6.91,few clouds
157,Tocopilla,CL,2021-12-04 17:59:10,-22.092,-70.1979,72.03,62,31,9.75,scattered clouds
158,Ancud,CL,2021-12-04 17:59:10,-41.8697,-73.8203,65.73,57,0,8.23,clear sky
159,Kostino,RU,2021-12-04 17:59:11,58.9097,53.2691,26.44,86,97,9.75,overcast clouds
160,Nizhneangarsk,RU,2021-12-04 17:59:11,55.7833,109.55,24.03,77,100,10.2,overcast clouds
161,Geraldton,AU,2021-12-04 17:59:11,-28.7667,114.6,66.13,82,0,9.22,clear sky
162,Vila Velha,BR,2021-12-04 17:54:14,-20.3297,-40.2925,78.75,73,40,11.5,scattered clouds
163,Murray Bridge,AU,2021-12-04 17:59:12,-35.1167,139.2667,58.48,93,1,6.04,clear sky
164,Turukhansk,RU,2021-12-04 17:59:12,65.8167,87.9833,-36.74,100,94,4.74,overcast clouds
165,Bonfim,BR,2021-12-04 17:59:13,3.0833,-59.95,92.23,43,50,5.97,scattered clouds
166,Mayumba,GA,2021-12-04 17:59:13,-3.432,10.6554,78.51,88,94,8.34,overcast clouds
167,New Norfolk,AU,2021-12-04 17:59:14,-42.7826,147.0587,44.1,66,63,2.26,broken clouds
168,Kampong Thum,KH,2021-12-04 17:59:14,12.7111,104.8887,65.55,74,96,4.72,overcast clouds
169,Sistranda,NO,2021-12-04 17:59:15,63.7256,8.834,30.16,62,100,11.41,overcast clouds
170,Brae,GB,2021-12-04 17:59:15,60.3964,-1.353,37.31,67,92,22.3,overcast clouds
171,Baiyin,CN,2021-12-04 17:59:16,36.5583,104.2081,18.48,30,0,3.62,clear sky
172,Kalaleh,IR,2021-12-04 17:59:16,37.3807,55.4916,44.2,87,0,0.0,clear sky
173,Surt,LY,2021-12-04 17:59:17,31.2089,16.5887,63.93,64,78,25.03,broken clouds
174,Yerbogachen,RU,2021-12-04 17:59:17,61.2767,108.0108,20.43,83,100,15.77,overcast clouds
175,Fortuna,US,2021-12-04 17:59:18,40.5982,-124.1573,49.32,97,90,0.0,overcast clouds
176,Kamaishi,JP,2021-12-04 17:59:18,39.2667,141.8833,34.52,69,43,11.45,scattered clouds
177,Egvekinot,RU,2021-12-04 17:59:18,66.3167,-179.1667,-25.69,94,16,5.48,few clouds
178,Mae Hong Son,TH,2021-12-04 17:59:19,19.3003,97.9685,64.0,91,42,2.48,scattered clouds
179,Vanimo,PG,2021-12-04 17:59:19,-2.6741,141.3028,78.22,91,100,7.63,moderate rain
180,Hinton,CA,2021-12-04 17:59:20,53.4001,-117.5857,1.44,59,100,3.8,overcast clouds
181,Yeppoon,AU,2021-12-04 18:00:20,-23.1333,150.7333,74.98,78,8,6.87,clear sky
182,Marzuq,YE,2021-12-04 18:00:21,14.4,46.4667,62.6,30,0,1.07,clear sky
183,Sabang,ID,2021-12-04 18:00:21,5.8933,95.3214,81.14,78,71,11.34,broken clouds
184,Yulara,AU,2021-12-04 18:00:21,-25.2406,130.9889,78.64,31,64,18.41,broken clouds
185,Tautira,PF,2021-12-04 18:00:22,-17.7333,-149.15,80.62,72,83,15.03,light rain
186,Big Spring,US,2021-12-04 18:00:22,32.2504,-101.4787,62.28,46,1,4.0,clear sky
187,Oum Hadjer,TD,2021-12-04 18:00:23,13.2954,19.6966,85.12,19,1,9.19,clear sky
188,Omboue,GA,2021-12-04 18:00:23,-1.5746,9.2618,78.85,87,99,10.07,overcast clouds
189,Bay Roberts,CA,2021-12-04 18:00:24,47.5999,-53.2648,34.34,43,81,15.99,broken clouds
190,Khuzhir,RU,2021-12-04 18:00:24,53.1939,107.3397,31.73,65,93,12.75,overcast clouds
191,Kysyl-Syr,RU,2021-12-04 18:00:24,63.8986,122.7617,-15.66,97,100,9.1,light snow
192,Denpasar,ID,2021-12-04 18:00:14,-8.65,115.2167,80.26,88,40,5.75,scattered clouds
193,Kango,GA,2021-12-04 18:00:25,0.1943,10.0951,79.07,86,83,0.81,broken clouds
194,Voh,NC,2021-12-04 18:00:25,-20.9667,164.7,74.32,89,6,3.96,clear sky
195,Souillac,MU,2021-12-04 18:00:26,-20.5167,57.5167,79.36,78,20,11.5,few clouds
196,Hasaki,JP,2021-12-04 18:00:26,35.7333,140.8333,39.6,51,0,21.0,clear sky
197,Aklavik,CA,2021-12-04 18:00:27,68.2191,-135.0107,-24.68,88,5,7.65,clear sky
198,Sinop,TR,2021-12-04 18:00:27,41.7711,34.8709,48.36,57,100,12.73,overcast clouds
199,Mar Del Plata,AR,2021-12-04 18:00:28,-38.0023,-57.5575,57.87,80,26,14.0,scattered clouds
200,Khatanga,RU,2021-12-04 18:00:28,71.9667,102.5,-21.28,98,100,8.21,overcast clouds
201,Bengkulu,ID,2021-12-04 18:00:29,-3.8004,102.2655,75.9,92,100,11.36,heavy intensity rain
202,Zhuhai,CN,2021-12-04 18:00:29,22.2769,113.5678,66.11,68,0,6.91,clear sky
203,Saint-Philippe,RE,2021-12-04 18:00:29,-21.3585,55.7679,80.19,81,36,10.49,scattered clouds
204,Clyde River,CA,2021-12-04 18:00:30,70.4692,-68.5914,12.43,85,100,29.93,light snow
205,Port Elizabeth,ZA,2021-12-04 17:58:55,-33.918,25.5701,63.1,88,90,13.8,light rain
206,Oranjemund,NA,2021-12-04 18:00:31,-28.55,16.4333,61.74,86,34,10.13,scattered clouds
207,North Bend,US,2021-12-04 18:00:32,43.4065,-124.2243,51.85,83,100,12.06,overcast clouds
208,Vardo,NO,2021-12-04 18:00:32,70.3705,31.1107,21.65,73,8,17.52,clear sky
209,Tromso,NO,2021-12-04 18:00:32,69.6496,18.957,19.42,58,0,9.22,clear sky
210,Filingue,NE,2021-12-04 18:00:33,14.3521,3.3168,83.98,10,71,7.67,broken clouds
211,Scottsbluff,US,2021-12-04 18:00:34,41.8666,-103.6672,51.78,47,14,1.14,few clouds
212,Soe,ID,2021-12-04 18:00:34,-9.8607,124.284,67.96,84,100,2.44,overcast clouds
213,Swan Hill,AU,2021-12-04 18:00:34,-35.3378,143.5544,52.09,71,0,8.16,clear sky
214,Valley Station,US,2021-12-04 18:00:35,38.1112,-85.8702,57.47,53,40,3.0,scattered clouds
215,Fengrun,CN,2021-12-04 18:00:35,39.8333,118.1167,36.68,53,0,1.54,clear sky
216,Dryden,CA,2021-12-04 18:00:36,49.7833,-92.7503,8.89,78,90,12.66,overcast clouds
217,Rudsar,IR,2021-12-04 18:00:37,37.1376,50.288,55.02,66,65,7.58,broken clouds
218,Beringovskiy,RU,2021-12-04 18:00:38,63.05,179.3167,10.98,89,79,8.01,broken clouds
219,Shingu,JP,2021-12-04 18:00:38,33.7333,135.9833,40.19,79,2,6.93,clear sky
220,Antofagasta,CL,2021-12-04 18:00:02,-23.65,-70.4,71.22,59,11,10.02,few clouds
221,Corinto,GR,2021-12-04 18:00:39,37.9407,22.9573,58.44,86,33,2.66,scattered clouds
222,Neuquen,AR,2021-12-04 18:00:39,-38.9516,-68.0591,75.09,30,3,3.18,clear sky
223,Acapulco,MX,2021-12-04 17:57:27,16.8634,-99.8901,84.83,57,41,4.47,scattered clouds
224,Wangjing,IN,2021-12-04 18:00:40,24.6,94.0333,63.9,78,100,0.81,light rain
225,Farmington,US,2021-12-04 18:00:40,36.7281,-108.2187,58.1,45,1,8.05,clear sky
226,Vila,PT,2021-12-04 18:01:41,42.0304,-8.1588,43.7,85,54,3.74,broken clouds
227,Astoria,US,2021-12-04 17:58:19,46.1879,-123.8313,48.85,96,90,1.99,light rain
228,Goderich,CA,2021-12-04 18:01:42,43.7501,-81.7165,37.9,57,83,25.97,broken clouds
229,Ambilobe,MG,2021-12-04 18:01:42,-13.2,49.05,79.97,67,39,6.93,scattered clouds
230,Alagoinha,BR,2021-12-04 18:01:42,-6.95,-35.545,90.19,44,78,18.45,broken clouds
231,Leningradskiy,RU,2021-12-04 18:01:43,69.3833,178.4167,-13.72,97,99,5.39,overcast clouds
232,Prince Rupert,CA,2021-12-04 18:00:30,54.3161,-130.3201,30.29,93,40,3.44,scattered clouds
233,Jumla,NP,2021-12-04 18:01:43,29.2747,82.1838,43.92,74,3,4.85,clear sky
234,Chibuto,MZ,2021-12-04 18:01:44,-24.6867,33.5306,87.04,49,10,13.56,clear sky
235,Huarmey,PE,2021-12-04 18:01:44,-10.0681,-78.1522,71.62,77,80,10.11,broken clouds
236,Zhigansk,RU,2021-12-04 18:01:44,66.7697,123.3711,-15.95,97,100,15.66,light snow
237,Garissa,KE,2021-12-04 18:01:45,-0.4536,39.6401,84.4,60,94,6.93,overcast clouds
238,Jimma,ET,2021-12-04 18:01:45,7.6667,36.8333,63.63,46,34,1.07,scattered clouds
239,Kuusamo,FI,2021-12-04 18:01:46,65.9667,29.1833,-0.36,85,0,3.44,clear sky
240,Grindavik,IS,2021-12-04 18:01:46,63.8424,-22.4338,30.67,93,75,6.91,broken clouds
241,Bereda,ES,2021-12-04 18:01:46,43.2686,-7.5406,49.91,100,89,3.31,overcast clouds
242,Mandera,KE,2021-12-04 18:01:47,3.9366,41.867,86.7,38,28,4.65,scattered clouds
243,Bayir,TR,2021-12-04 18:01:47,37.2687,28.2167,52.32,98,100,5.37,moderate rain
244,Poindimie,NC,2021-12-04 18:01:48,-20.9333,165.3333,78.26,79,81,8.08,broken clouds
245,Ocean City,US,2021-12-04 17:59:30,39.2776,-74.5746,53.98,71,100,5.99,overcast clouds
246,Waingapu,ID,2021-12-04 18:01:48,-9.6567,120.2641,81.0,77,100,7.85,moderate rain
247,Umea,SE,2021-12-04 17:58:52,63.8284,20.2597,18.91,73,0,9.22,clear sky
248,Olga,RU,2021-12-04 18:01:49,43.7444,135.2892,14.23,41,0,5.46,clear sky
249,Kendari,ID,2021-12-04 18:01:49,-3.945,122.4989,75.94,94,100,2.64,overcast clouds
250,Lasa,IT,2021-12-04 18:01:50,46.6166,10.7002,32.74,89,98,1.5,light snow
251,Teacapan,MX,2021-12-04 18:01:50,22.55,-105.75,81.34,65,62,4.47,broken clouds
252,Robertson,US,2021-12-04 18:01:51,36.5167,-86.8667,62.06,74,20,6.91,few clouds
253,Berlevag,NO,2021-12-04 18:01:51,70.8578,29.0864,17.67,81,24,20.2,few clouds
254,Codrington,AU,2021-12-04 18:01:53,-38.2667,141.9667,44.08,85,91,4.09,overcast clouds
255,Kargil,IN,2021-12-04 18:01:54,34.5667,76.1,15.39,69,15,4.21,few clouds
256,Volchikha,RU,2021-12-04 18:01:54,52.0333,80.3833,16.77,99,90,3.69,overcast clouds
257,Rio Gallegos,AR,2021-12-04 18:01:56,-51.6226,-69.2181,66.83,38,100,25.48,overcast clouds
258,Meadow Lake,US,2021-12-04 18:01:56,34.8014,-106.5436,63.43,37,0,4.43,clear sky
259,Kavieng,PG,2021-12-04 18:01:57,-2.5744,150.7967,81.97,81,77,14.18,moderate rain
